uid,movement
17031,1
19001,1
19003,1
19009,1
19013,1
19015,1
19021,1
19027,2
19029,2
19047,2
19049,2
19071,2
19073,1
19077,1
19085,2
19113,1
19121,1
19129,7
19133,1
19137,2
19145,3
19149,1
19153,8
19155,19
19161,1
19165,2
19169,1
19173,1
19175,1
19181,1
19187,1
19193,8
20005,1
20013,1
20043,1
20045,2
20061,1
20085,1
20087,1
20091,6
20103,2
20117,1
20131,1
20149,1
20161,3
20173,2
20177,6
20201,1
20209,3
27053,1
29003,2
29005,1
29021,5
29037,1
29047,5
29049,1
29063,1
29087,1
29095,6
29147,3
29165,3
29189,1
31001,1
31019,1
31021,1
31023,1
31037,1
31039,1
31043,1
31053,6
31055,925
31059,1
31067,4
31079,2
31081,1
31095,1
31097,1
31109,89
31119,3
31121,1
31127,2
31131,131
31141,3
31143,1
31147,1
31151,2
31153,6952
31155,5
31159,3
31167,1
31169,1
31173,1
31177,4
31179,1
31185,2
46099,1
